channel_url,channel_title,channel_description,channel_thumbnail,tags,video_id,headline,thumbnail,view_count
https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,Thank you for being here :),https://yt3.googleusercontent.com/F6bRAdO8YZZ_VEq5L5TBEjWDMfVV9kCyQS5F7imi7U1_v1YGsJ36xDh6xsA_Gp7-OE-mjPbt=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=20238,,83MRAXGer2Q,this took us SO long to film 😭 #Shorts,https://i.ytimg.com/vi/83MRAXGer2Q/frame0.jpg,1.5M views
https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,Thank you for being here :),https://yt3.googleusercontent.com/F6bRAdO8YZZ_VEq5L5TBEjWDMfVV9kCyQS5F7imi7U1_v1YGsJ36xDh6xsA_Gp7-OE-mjPbt=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=20238,,8YJiVHfEbEY,this took SO long 😭#Shorts,https://i.ytimg.com/vi/8YJiVHfEbEY/frame0.jpg,6.6M views
https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,Thank you for being here :),https://yt3.googleusercontent.com/F6bRAdO8YZZ_VEq5L5TBEjWDMfVV9kCyQS5F7imi7U1_v1YGsJ36xDh6xsA_Gp7-OE-mjPbt=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=20238,,p4T-cl248bk,Thank you for understanding ❤️ #Shorts,https://i.ytimg.com/vi/p4T-cl248bk/frame0.jpg,20M views
https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,Thank you for being here :),https://yt3.googleusercontent.com/F6bRAdO8YZZ_VEq5L5TBEjWDMfVV9kCyQS5F7imi7U1_v1YGsJ36xDh6xsA_Gp7-OE-mjPbt=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=20238,,eYD_iRQvpnw,NO WAY 😭 #Shorts,https://i.ytimg.com/vi/eYD_iRQvpnw/frame0.jpg,14M views
https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,Thank you for being here :),https://yt3.googleusercontent.com/F6bRAdO8YZZ_VEq5L5TBEjWDMfVV9kCyQS5F7imi7U1_v1YGsJ36xDh6xsA_Gp7-OE-mjPbt=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=20238,,bJe9B9kng0w,wait for it 😂 #Shorts,https://i.ytimg.com/vi/bJe9B9kng0w/frame0.jpg,3.6M views
https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,Thank you for being here :),https://yt3.googleusercontent.com/F6bRAdO8YZZ_VEq5L5TBEjWDMfVV9kCyQS5F7imi7U1_v1YGsJ36xDh6xsA_Gp7-OE-mjPbt=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=20238,,olfWHl_yeZI,WHAT. WAS. THAT. 😭 #Shorts,https://i.ytimg.com/vi/olfWHl_yeZI/frame0.jpg,5.5M views
https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,Thank you for being here :),https://yt3.googleusercontent.com/F6bRAdO8YZZ_VEq5L5TBEjWDMfVV9kCyQS5F7imi7U1_v1YGsJ36xDh6xsA_Gp7-OE-mjPbt=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=20238,,6ZQk8lf54wM,Mom is the real MVP #Shorts,https://i.ytimg.com/vi/6ZQk8lf54wM/frame0.jpg,2.8M views
https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,Thank you for being here :),https://yt3.googleusercontent.com/F6bRAdO8YZZ_VEq5L5TBEjWDMfVV9kCyQS5F7imi7U1_v1YGsJ36xDh6xsA_Gp7-OE-mjPbt=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=20238,,_hhLwvOrM7w,The end? BTS on lG 😂 #Shorts,https://i.ytimg.com/vi/_hhLwvOrM7w/frame0.jpg,8.4M views
https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,Thank you for being here :),https://yt3.googleusercontent.com/F6bRAdO8YZZ_VEq5L5TBEjWDMfVV9kCyQS5F7imi7U1_v1YGsJ36xDh6xsA_Gp7-OE-mjPbt=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=20238,,tVR8d2navTg,this took us SO long 😭 #Shorts,https://i.ytimg.com/vi/tVR8d2navTg/frame0.jpg,5.4M views
https://www.youtube.com/channel/UClAa0YLrW4MaIKOWaeZR9Xg,mmmjoemele,Thank you for being here :),https://yt3.googleusercontent.com/F6bRAdO8YZZ_VEq5L5TBEjWDMfVV9kCyQS5F7imi7U1_v1YGsJ36xDh6xsA_Gp7-OE-mjPbt=s200-c-k-c0x00ffffff-no-rj?days_since_epoch=20238,,5lzenv1rUHQ,head over to my ig for more! #Shorts,https://i.ytimg.com/vi/5lzenv1rUHQ/frame0.jpg,7M views
